FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4554,4727,3,3300704,CABO FRIO,096,1082,Escola Municipal Antônio da Cunha Azevedo,ESCOLA MUNINICIPAL ANTONIO DA CUNHA AZEVEDO,PASSAGEM,MAESTRO CLODOMIRO GUIMARAES DE OLIVEIRA S-N,6,2214,-42.00901,-22.87726,POINT (-42.00901000000001 -22.877260000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4553,4728,3,3300704,CABO FRIO,096,1090,Escola Municipal João Bessa Teixeira,ESCOLA MUNICIPAL JOÃO BESSA TEIXEIRA,MARLIM,AVENIDA ANTONIO FELICIANO DE ALMEIDA S-N,3,1048,-42.01207,-22.88069,POINT (-42.012069999999994 -22.88069000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4552,4729,3,3300704,CABO FRIO,096,1104,Escola Municipal Domingos Gouveia,ESCOLA MUNICIPAL DOMINGOS GOUVEIA,PORTINHO,RUA HENRIQUE TERRA 154,7,2779,-42.02623,-22.87804,POINT (-42.02622999999999 -22.878040000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4551,4730,3,3300704,CABO FRIO,096,1147,Fundação Educacional da Região dos Lagos,FUNDAÇÃO EDUCACIONAL DA REGIÃO DOS LAGOS,JARDIM FLAMBOYANT,AV. JÚLIA KUBITSCHEK 80,15,5279,-42.03026,-22.88307,POINT (-42.03025999999999 -22.883070000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4550,4731,3,3300704,CABO FRIO,096,1171,Escola Municipal Américo Vespúcio,ESCOLA MUNICIPAL AMÉRICO VESPÚCIO,PARQUE BURLE,RUA THEONAS TERRA 70,9,3221,-42.04434,-22.88664,POINT (-42.04434 -22.886639999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454f,4732,3,3300704,CABO FRIO,096,1970,Escola Municipal Robson Azevedo,ESCOLA MUNIPAL ROBINSON CARVALHO DE AZEVEDO,PARQUE BURLE,AV. VITOR ROCHA 998,6,2206,-42.04445,-22.88501,POINT (-42.04445 -22.88501)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454e,4733,3,3300704,CABO FRIO,096,1260,Escola Municipal Santos Anjos Custódios,ESCOLA MUNICIPAL SANTOS ANJOS CUSTÓDIOS,PRAIA DO SIQUEIRA,RUA IRMÃ JOSEFINA DA VEIGA 73,6,2244,-42.04808,-22.87927,POINT (-42.04808 -22.879270000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454d,4734,3,3300704,CABO FRIO,096,1856,Escola Municipal Educação Infantil Vovó Cinha,ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL VOVÓ CINHA,PARQUE BURLE,AV. VICTOR NUNES DA ROCHA 85,4,1495,-42.04572,-22.88088,POINT (-42.04572 -22.88088000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454c,4735,3,3300704,CABO FRIO,096,1252,Escola Estadual Praia do Siqueira,ESCOLA ESTADUAL PRAIA DO SIQUEIRA,PRAIA DO SIQUEIRA,RUA LUIZ FELICIANO CARDOSO S/N,5,1975,-42.05207,-22.87415,POINT (-42.05207000000001 -22.87415)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454b,4736,3,3300704,CABO FRIO,096,1740,Escola Municipal Professora Izabel dos Santos Machado,ESCOLA MUNICIPAL PROFESSORA IZABEL DOS SANTOS MACHADO,JARDIM CAIÇARA,RUA FRANÇA S/N,4,1524,-42.04213,-22.88867,POINT (-42.04213000000001 -22.88867000000001)
